STATE/UT,Year,CRIME HEAD,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total,
ASSAM,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,12,1,38,0,0,0,0,0,50,1,51
BIHAR,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,49,8,38,9,10,2,0,0,97,19,116
CHHATTISGARH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,1,0,11,5,2,3,0,0,0,0,14,8,22
GOA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,48,11,28,6,3,1,3,0,82,18,100
GUJARAT,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,1,7,38,17,32,21,3,4,0,1,74,50,124
HARYANA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,1,100,91,58,42,9,1,1,0,168,135,303
HIMACHAL PRADESH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,6,1,5,6,0,0,0,0,11,7,18
JAMMU & KASHMIR,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,7,0,4,0,2,0,0,0,13,0,13
JHARKHAND,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,3,6,3,3,2,3,0,0,8,12,20
KARNATAKA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,379,329,271,166,47,35,9,4,706,534,1240
KERALA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,30,75,50,137,12,18,2,0,94,230,324
MADHYA PRADESH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,25,5,16,2,11,0,0,0,52,7,59
MAHARASHTRA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,4,522,271,415,217,100,60,22,10,1059,562,1621
MANIPUR,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,4,4,2,8,0,1,1,0,7,13,20
MIZORAM,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,8,13,4,1,0,0,0,0,12,14,26
ODISHA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,34,19,18,8,3,0,0,0,55,27,82
PUNJAB,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,101,94,93,66,23,25,0,0,217,185,402
RAJASTHAN,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,1,103,136,59,36,6,5,3,0,171,178,349
SIKKIM,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,232,141,283,134,97,26,6,8,618,309,927
TRIPURA,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,78,52,39,18,0,0,0,0,117,70,187
UTTARAKHAND,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,22,14,20,3,2,0,0,0,44,17,61
WEST BENGAL,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,4,117,67,171,51,33,12,0,0,321,134,455
TOTAL (STATES),2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,2,17,2431,1613,1986,1102,434,216,50,24,4903,2972,7875
A & N ISLANDS,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,5,7,2,2,0,0,0,0,7,9,16
CHANDIGARH,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,1,3,4,3,1,0,0,0,6,6,12
DAMAN & DIU,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,10,12,0,1,1,0,0,0,11,13,24
DELHI,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,9,63,8,23,1,0,0,0,18,86,104
LAKSHADWEEP,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,12,2,5,0,2,0,0,0,19,2,21
TOTAL (UTs),2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,0,0,37,87,19,29,5,0,0,0,61,116,177
TOTAL (ALL-INDIA),2012,IMMORAL TRAFFIC (PREVENTION) ACT,1956,2,17,2468,1700,2005,1131,439,216,50,24,4964,3088,8052
ANDHRA PRADESH,2012,INDIAN RAILWAYS ACT,1989,0,0,15,0,8,0,10,0,0,0,33,0,33
ARUNACHAL PRADESH,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,2,0,0,0,0,0,2,0,2
BIHAR,2012,INDIAN RAILWAYS ACT,1989,0,0,1,0,0,0,0,0,0,0,1,0,1
CHHATTISGARH,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,6,0,0,0,0,0,6,0,6
GOA,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,1,0,0,0,1,0,1
GUJARAT,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,INDIAN RAILWAYS ACT,1989,0,0,1,0,0,0,0,0,0,0,1,0,1
HIMACHAL PRADESH,2012,INDIAN RAILWAYS ACT,1989,0,0,1,0,0,0,1,0,0,0,2,0,2
JAMMU & KASHMIR,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,INDIAN RAILWAYS ACT,1989,0,0,3,0,10,0,3,0,0,0,16,0,16
KERALA,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,4,0,1,0,0,0,5,0,5
MADHYA PRADESH,2012,INDIAN RAILWAYS ACT,1989,4,0,4,0,3,0,0,0,0,0,11,0,11
MAHARASHTRA,2012,INDIAN RAILWAYS ACT,1989,1,0,2,0,0,0,0,0,0,0,3,0,3
MANIPUR,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,INDIAN RAILWAYS ACT,1989,0,0,4,0,3,0,3,0,0,0,10,0,10
RAJASTHAN,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,INDIAN RAILWAYS ACT,1989,2,0,4,0,1,0,0,0,0,0,7,0,7
TRIPURA,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,INDIAN RAILWAYS ACT,1989,0,0,31,0,18,0,0,0,0,0,49,0,49
UTTARAKHAND,2012,INDIAN RAILWAYS ACT,1989,0,0,1,0,2,0,0,0,0,0,3,0,3
WEST BENGAL,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,1,0,0,0,0,0,1,0,1
TOTAL (STATES),2012,INDIAN RAILWAYS ACT,1989,7,0,67,0,58,0,19,0,0,0,151,0,151
A & N ISLANDS,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,INDIAN RAILWAYS ACT,1989,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (ALL-INDIA),2012,INDIAN RAILWAYS ACT,1989,7,0,67,0,58,0,19,0,0,0,151,0,151
ANDHRA PRADESH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,14,0,5,0,0,0,0,0,19,0,19
ARUNACHAL PRADESH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,1,0,0,0,0,0,1,0,1
ASSAM,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,4,0,19,0,6,0,0,0,29,0,29
BIHAR,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,1,0,0,0,1,0,1
CHHATTISGARH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,16,4,17,1,4,1,0,0,37,6,43
GUJARAT,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,11,1,11,2,6,0,2,0,30,3,33
HARYANA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,24,1,19,0,3,0,0,0,46,1,47
HIMACHAL PRADESH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,1,0,3,0,2,0,0,0,6,0,6
JAMMU & KASHMIR,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,6,3,8,3,2,0,0,0,16,6,22
JHARKHAND,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,1,0,0,0,0,0,1,0,1
KARNATAKA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,66,7,26,3,3,1,1,1,96,12,108
KERALA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,28,0,7,1,5,0,0,1,40,2,42
MADHYA PRADESH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,16,1,6,0,0,0,1,0,23,1,24
MANIPUR,2012,REGISTRATION OF FOREIGNERS ACT,1930,1,0,38,0,20,0,2,0,0,0,61,0,61
MEGHALAYA,2012,REGISTRATION OF FOREIGNERS ACT,1930,6,0,183,0,56,1,14,0,2,0,261,1,262
MIZORAM,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,15,1,15,2,10,0,0,0,40,3,43
NAGALAND,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,3,0,0,0,0,0,3,0,3
PUNJAB,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,1,0,0,0,0,0,1,0,1
RAJASTHAN,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,1,0,0,0,0,0,1,0,1
SIKKIM,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,1,0,0,0,1,1,0,0,2,1,3
TAMIL NADU,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,2,1,11,0,2,0,0,0,15,1,16
TRIPURA,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,1,0,0,0,0,0,0,0,1,0,1
UTTAR PRADESH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,1,0,0,0,0,0,1,0,1
UTTARAKHAND,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,1,0,2,0,0,0,0,0,3,0,3
WEST BENGAL,2012,REGISTRATION OF FOREIGNERS ACT,1930,24,5,648,55,511,51,196,22,3,1,1382,134,1516
TOTAL (STATES),2012,REGISTRATION OF FOREIGNERS ACT,1930,31,5,1075,74,744,64,257,25,9,3,2116,171,2287
A & N ISLANDS,2012,REGISTRATION OF FOREIGNERS ACT,1930,2,0,34,0,39,0,10,0,1,0,86,0,86
CHANDIGARH,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,1,0,0,0,0,0,1,1
D & N HAVELI,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,3,0,0,0,0,0,0,0,3,0,3
DELHI,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,9,2,17,2,3,0,0,0,29,4,33
LAKSHADWEEP,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,REGISTRATION OF FOREIGNERS ACT,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),2012,REGISTRATION OF FOREIGNERS ACT,1930,2,0,46,2,56,3,13,0,1,0,118,5,123
TOTAL (ALL-INDIA),2012,REGISTRATION OF FOREIGNERS ACT,1930,33,5,1121,76,800,67,270,25,10,3,2234,176,2410
ANDHRA PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,9,0,2,0,0,0,1,0,12,0,12
ARUNACHAL PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,1,0,0,0,0,0,0,0,1,0,1
GUJARAT,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,2,0,0,0,0,0,2,0,2
HARYANA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,5,0,5,0,1,0,1,0,12,0,12
JAMMU & KASHMIR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,1,0,1,0,0,0,2,0,2
JHARKHAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,8,0,20,3,11,1,0,0,39,4,43
KERALA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,1,0,6,0,0,0,0,0,7,0,7
MANIPUR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,10,0,0,0,1,0,0,0,11,0,11
TRIPURA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,1,0,2,0,0,0,0,0,3,0,3
UTTARAKHAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,35,0,38,3,14,1,2,0,89,4,93
A & N ISLANDS,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (UTs),2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (ALL-INDIA),2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,40,0,45,3,17,1,3,0,105,4,109
ANDHRA PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,9,0,2,0,0,0,1,0,12,0,12
ARUNACHAL PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,1,0,0,0,0,0,0,0,1,0,1
GUJARAT,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,2,0,0,0,0,0,2,0,2
HARYANA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,5,0,5,0,1,0,1,0,12,0,12
JAMMU & KASHMIR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,1,0,1,0,0,0,2,0,2
JHARKHAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,8,0,20,3,11,1,0,0,39,4,43
KERALA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,1,0,6,0,0,0,0,0,7,0,7
MANIPUR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,10,0,0,0,1,0,0,0,11,0,11
TRIPURA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,1,0,2,0,0,0,0,0,3,0,3
UTTARAKHAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,35,0,38,3,14,1,2,0,89,4,93
A & N ISLANDS,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (UTs),2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,5,0,7,0,3,0,1,0,16,0,16
TOTAL (ALL-INDIA),2012,PROTECTION OF CIVIL RIGHTS ACT,1955,0,0,40,0,45,3,17,1,3,0,105,4,109
ANDHRA PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHARASHTRA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2012,PROTECTION OF CIVIL RIGHTS ACT,1955 FOR CRIMES COMMITTED AGAINST SCHEDULED TRIBES,0,0,0,0,0,0,0,0,0,0,0,0,0
